,early_interval,late_interval,early_age,late_age,reference_no,lng
289,Albian,,113.0,100.5,14102;14102,-108.811302
263,Albian,,113.0,100.5,13525;13525,-108.100197
262,Albian,,113.0,100.5,13525;13525,-108.038498
261,Albian,,113.0,100.5,13525;13525,-108.2649
257,Albian,,113.0,100.5,13525;13525,-108.811798
256,Albian,,113.0,100.5,13525;13525,-107.572601
255,Albian,,113.0,100.5,13525;13525,-108.750099
252,Albian,,113.0,100.5,13525;13525,-108.182602
253,Albian,,113.0,100.5,13525;13525,-109.685501
708,Albian,,113.0,100.5,56060;56060,-97.582741
267,Albian,,113.0,100.5,13525;13525,-108.141403
301,Albian,,113.0,100.5,14710;14710,-108.40972099999999
718,Albian,,113.0,100.5,58656;58656,-108.729599
594,Albian,,113.0,100.5,44000;44000,-107.879997
