,early_interval,late_interval,early_age,late_age,reference_no,lng
562,Aptian,,125.0,113.0,33952;33952,120.15833300000001
308,Aptian,,125.0,113.0,14919;14919,120.225601
601,Aptian,,125.0,113.0,44000;44000,-108.802223
600,Aptian,,125.0,113.0,44000;44000,-108.805275
599,Aptian,Albian,125.0,100.5,44000;44000,-108.311668
597,Aptian,Albian,125.0,100.5,44000;44000,-107.82203700000001
596,Aptian,Albian,125.0,100.5,44000;44000,-107.902222
501,Aptian,,125.0,113.0,33218;33218,120.427139
595,Aptian,Albian,125.0,100.5,44000;44000,-107.89888799999999
583,Aptian,,125.0,113.0,42681;42681,120.225601
577,Aptian,Albian,125.0,100.5,2023;2023,-108.811302
266,Aptian,Albian,125.0,100.5,13525;13525,-108.162003
307,Aptian,,125.0,113.0,14924;14924,120.175301
306,Aptian,,125.0,113.0,14909;14909,121.222801
565,Aptian,Albian,125.0,100.5,34750;34750,-107.893501
247,Aptian,Early Albian,125.0,109.0,13299;13299,128.51809699999998
248,Aptian,Albian,125.0,100.5,13525;13525,-107.895401
249,Aptian,Albian,125.0,100.5,13525;13525,-108.32240300000001
552,Aptian,Albian,125.0,100.5,33215;33215,121.989998
557,Aptian,,125.0,113.0,33219;33219,120.427139
265,Aptian,Albian,125.0,100.5,13525;13525,-108.141403
350,Aptian,,125.0,113.0,17903;17903,107.915276
567,Aptian,Albian,125.0,100.5,50063;50063,-109.50222
661,Aptian,Albian,125.0,100.5,50085;50085,-109.27361299999998
19,Aptian,,125.0,113.0,7600;7600,-97.907219
3,Aptian,,125.0,113.0,7600;7600,-98.476303
34,Aptian,Albian,125.0,100.5,9233;9233,-108.162003
724,Aptian,,125.0,113.0,52405;52405,119.683296
677,Aptian,,125.0,113.0,51254;51254,120.225601
