,early_interval,late_interval,early_age,late_age,reference_no,lng
679,Late Barremian,Early Aptian,130.0,122.46,51973;51973,119.64111299999999
731,Early Barremian,,130.0,125.45,63556;63556,-9.222222
659,Late Barremian,Early Aptian,130.0,122.46,49111;49111,7.85
290,Late Barremian,Early Aptian,130.0,122.46,14889;14889,120.8722
560,Late Barremian,Aptian,130.0,113.0,33940;33940,106.27471899999999
300,Late Barremian,Early Aptian,130.0,122.46,14676;14676,-0.283333
545,Early Barremian,,130.0,125.45,32167;32167,-0.8390000000000001
690,Late Barremian,Aptian,130.0,113.0,37922;37922,136.550003
445,Early Barremian,,130.0,125.45,17647;17647,-0.861015
568,Late Barremian,Early Aptian,130.0,122.46,35274;35274,-109.470901
317,Early Barremian,,130.0,125.45,17647;17647,-0.8850530000000001
619,Late Barremian,Aptian,130.0,113.0,48562;48562,-3.242159
331,Early Barremian,,130.0,125.45,17647;17647,-0.666667
505,Early Barremian,,130.0,125.45,17647;17647,-0.839116
526,Early Barremian,,130.0,125.45,17647;17647,-0.877559
561,Late Barremian,Aptian,130.0,113.0,17739;17739,106.27471899999999
