,early_interval,late_interval,early_age,late_age,reference_no,lng
349,Berriasian,,145.0,139.8,17901;17901,-0.309722
287,Middle Berriasian,,145.0,140.2,14060;14060,-1.9666700000000001
706,Late Berriasian,Aptian,145.0,113.0,55500;55500,-3.242159
446,Early Cretaceous,,145.0,100.5,23562;23562,102.733299
617,Berriasian,,145.0,139.8,47413;47413,-1.781
330,Neocomian,,145.0,130.0,17680;17680,-1.110258
288,Berriasian,,145.0,139.8,14077;14077,136.883331
689,Early Cretaceous,,145.0,100.5,42291;42291,111.163055
444,Late Berriasian,,145.0,140.2,19697;19697,14.752448999999999
503,Early Berriasian,,145.0,140.2,27918;27918,14.7975
730,Berriasian,Hauterivian,145.0,129.4,62874;62874,-38.316666
26,Middle Berriasian,,145.0,140.2,8336;8336,-1.9666669999999997
454,Middle Berriasian,,145.0,140.2,24418;24418,-1.9666700000000001
27,Middle Berriasian,,145.0,140.2,8338;8338,-1.9666669999999997
455,Early Cretaceous,,145.0,100.5,24535;24535,103.25774399999999
