,early_interval,late_interval,early_age,late_age,reference_no,lng
658,Late Maastrichtian,,70.6,66.0,49049;49049,-107.35028100000001
733,Late Maastrichtian,,70.6,66.0,65784;65784,23.092192
20,Lancian,,70.6,66.0,717;717,-104.49166899999999
735,Lancian,,70.6,66.0,66164;66164,-103.099998
736,Early Maastrichtian,,70.6,66.0,66250;66250,-108.066399
39,Early Maastrichtian,,70.6,66.0,17618;17618,1.011
705,Late Maastrichtian,,70.6,66.0,55315;55315,1.7722220000000002
40,Early Maastrichtian,,70.6,66.0,56091;56091,1.011
41,Early Maastrichtian,,70.6,66.0,56091;56091,1.2667
678,Late Maastrichtian,,70.6,66.0,51520;51520,-101.96788000000001
144,Lancian,,70.6,66.0,34479;34479,-107.38333100000001
130,Lancian,,70.6,66.0,12202;12202,-104.569
129,Lancian,,70.6,66.0,12202;12202,-106.400002
44,Late Maastrichtian,,70.6,66.0,56091;56091,1.22
713,Late Maastrichtian,,70.6,66.0,38063;38063,0.950376
45,Late Maastrichtian,,70.6,66.0,9837;9837,0.9559620000000001
692,Late Maastrichtian,,70.6,66.0,17647;17647,0.883333
103,Late Maastrichtian,,70.6,66.0,17618;17618,0.73333
715,Late Maastrichtian,,70.6,66.0,56882;56882,-103.20755
211,Lancian,,70.6,66.0,48570;48570,-107.050003
172,Lancian,,70.6,66.0,48570;48570,-107.116699
216,Lancian,,70.6,66.0,13103;13103,-106.5
218,Lancian,,70.6,66.0,13103;13103,-106.099998
234,Lancian,,70.6,66.0,48570;48570,-106.183296
576,Late Maastrichtian,,70.6,66.0,38063;38063,0.958117
575,Late Maastrichtian,,70.6,66.0,37256;37256,22.93
574,Early Maastrichtian,,70.6,66.0,37235;37235,23.552959
572,Early Maastrichtian,,70.6,66.0,36226;36226,-103.56562
280,Late Maastrichtian,,70.6,66.0,13817;13817,-151.51944
281,Early Maastrichtian,,70.6,66.0,13817;13817,-151.578232
558,Early Maastrichtian,,70.6,66.0,33802;33802,23.570463
299,Late Maastrichtian,,70.6,66.0,14627;14627,-108.816666
321,Early Maastrichtian,,70.6,66.0,16945;16945,5.933333
324,Early Maastrichtian,,70.6,66.0,17404;17404,-112.87860900000001
531,Lancian,,70.6,66.0,48570;48570,-107.0
325,Early Maastrichtian,,70.6,66.0,48570;48570,-112.87860900000001
328,Late Maastrichtian,,70.6,66.0,17600;17600,0.73333
515,Lancian,,70.6,66.0,12202;12202,-104.566704
388,Late Maastrichtian,,70.6,66.0,19377;19377,23.092192
389,Late Maastrichtian,,70.6,66.0,19377;19377,22.783331
487,Early Maastrichtian,,70.6,66.0,25756;25756,-113.54536399999999
484,Early Maastrichtian,,70.6,66.0,32412;32412,-57.508033999999995
476,Lancian,,70.6,66.0,2236;2236,-106.890732
475,Lancian,,70.6,66.0,2236;2236,-106.880623
469,Lancian,,70.6,66.0,2236;2236,-106.89173100000001
465,Late Maastrichtian,,70.6,66.0,2333;2333,-106.099998
432,Early Maastrichtian,,70.6,66.0,19433;19433,-103.516487
217,Lancian,,70.6,66.0,13103;13103,-104.566704
590,Early Maastrichtian,,70.6,66.0,48570;48570,-112.88333100000001
173,Lancian,,70.6,66.0,13103;13103,-107.133301
215,Lancian,,70.6,66.0,48570;48570,-107.23333000000001
174,Lancian,,70.6,66.0,48570;48570,-107.316704
641,Early Maastrichtian,,70.6,66.0,48570;48570,-112.865601
183,Lancian,,70.6,66.0,34479;34479,-106.983299
185,Lancian,,70.6,66.0,34479;34479,-107.099998
191,Lancian,,70.6,66.0,34479;34479,-106.400002
626,Lancian,,70.6,66.0,48570;48570,-107.099998
620,Early Maastrichtian,,70.6,66.0,48570;48570,-103.56562
192,Lancian,,70.6,66.0,13103;13103,-106.650002
193,Lancian,,70.6,66.0,48570;48570,-106.650002
194,Lancian,,70.6,66.0,12202;12202,-106.300003
195,Lancian,,70.6,66.0,48570;48570,-107.25
196,Lancian,,70.6,66.0,13103;13103,-104.494713
197,Lancian,,70.6,66.0,48570;48570,-104.494713
201,Lancian,,70.6,66.0,13103;13103,-104.583298
202,Lancian,,70.6,66.0,48570;48570,-104.583298
204,Lancian,,70.6,66.0,13103;13103,-106.916702
206,Late Maastrichtian,,70.6,66.0,34479;34479,-104.637001
207,Lancian,,70.6,66.0,48570;48570,-106.283302
208,Lancian,,70.6,66.0,13103;13103,-106.283302
209,Lancian,,70.6,66.0,48570;48570,-104.466698
210,Lancian,,70.6,66.0,13103;13103,-107.050003
452,Edmontonian,,70.6,66.0,24170;24170,-114.522797
212,Lancian,,70.6,66.0,48570;48570,-106.883301
213,Lancian,,70.6,66.0,13103;13103,-106.883301
214,Lancian,,70.6,66.0,13103;13103,-104.533302
0,Late Maastrichtian,,70.6,66.0,4002;4002,21.049999
