,early_interval,late_interval,early_age,late_age,reference_no,lng
623,Maastrichtian,,72.1,66.0,48570;48570,-104.553886
584,Maastrichtian,,72.1,66.0,42834;42834,-93.369095
99,Maastrichtian,,72.1,66.0,11749;11749,-104.002403
703,Maastrichtian,,72.1,66.0,55060;55060,100.011108
126,Maastrichtian,,72.1,66.0,4381;4381,-106.099998
451,Maastrichtian,,72.1,66.0,24130;24130,46.581619
286,Maastrichtian,,72.1,66.0,33802;33802,22.845142000000003
486,Maastrichtian,,72.1,66.0,25630;25630,-8.5
541,Maastrichtian,,72.1,66.0,32412;32412,-75.22416700000001
81,Maastrichtian,,72.1,66.0,11749;11749,-103.939697
336,Maastrichtian,,72.1,66.0,37147;37147,-3.516667
241,Maastrichtian,,72.1,66.0,13266;13266,-105.110275
240,Maastrichtian,,72.1,66.0,13266;13266,-105.036667
726,Maastrichtian,,72.1,66.0,15004;15004,99.599998
239,Maastrichtian,,72.1,66.0,13266;13266,-105.20027900000001
238,Maastrichtian,,72.1,66.0,13266;13266,-105.01916499999999
237,Maastrichtian,,72.1,66.0,13266;13266,-105.01110800000001
80,Maastrichtian,,72.1,66.0,11749;11749,-103.836998
737,Maastrichtian,,72.1,66.0,66250;66250,-108.10194399999999
