,early_interval,late_interval,early_age,late_age,reference_no,lng
508,Late Campanian,,83.5,70.6,28248;28248,103.26666999999999
488,Late Campanian,,83.5,70.6,25803;25803,-108.084198
485,Late Campanian,Maastrichtian,83.5,66.0,25630;25630,-8.65
518,Judithian,,83.5,70.6,29426;29426,-110.26619699999999
519,Late Campanian,,83.5,70.6,29426;29426,-112.577003
520,Late Campanian,,83.5,70.6,29426;29426,-111.63166000000001
491,Late Campanian,,83.5,70.6,25812;25812,-103.550003
507,Late Campanian,,83.5,70.6,28193;28193,103.30278
504,Late Campanian,Early Maastrichtian,83.5,66.0,34322;34322,-51.373055
721,Early Campanian,,83.5,70.6,60112;60112,-111.0
521,Late Campanian,,83.5,70.6,29426;29426,-110.369003
691,Early Campanian,,83.5,70.6,25625;25625,-110.930191
522,Late Campanian,Early Maastrichtian,83.5,66.0,29712;29712,2.898134
664,Late Campanian,,83.5,70.6,50790;50790,-108.088333
606,Late Campanian,Early Maastrichtian,83.5,66.0,46349;46349,22.916667999999998
631,Middle Campanian,Late Campanian,83.5,70.6,48570;48570,-110.681999
593,Late Campanian,Early Maastrichtian,83.5,66.0,43870;43870,2.95
632,Middle Campanian,Late Campanian,83.5,70.6,48570;48570,-110.449997
636,Late Campanian,,83.5,70.6,48570;48570,-112.577003
579,Late Campanian,,83.5,70.6,42154;42154,103.72139
637,Late Campanian,,83.5,70.6,48570;48570,-111.300003
573,Late Campanian,,83.5,70.6,36226;36226,-103.169876
639,Late Campanian,,83.5,70.6,48570;48570,-110.243889
643,Middle Campanian,Late Campanian,83.5,70.6,48570;48570,-112.748901
645,Judithian,,83.5,70.6,48570;48570,-110.26619699999999
651,Late Campanian,Early Maastrichtian,83.5,66.0,48570;48570,-112.901711
657,Late Campanian,,83.5,70.6,48570;48570,-110.017197
662,Late Campanian,,83.5,70.6,13165;13165,-111.620003
672,Late Campanian,,83.5,70.6,50790;50790,-107.798698
524,Late Campanian,,83.5,70.6,29887;29887,6.106141
673,Late Campanian,,83.5,70.6,50790;50790,-107.78083000000001
674,Late Campanian,Early Maastrichtian,83.5,66.0,51122;51122,-48.5
