,early_interval,late_interval,early_age,late_age,reference_no,lng
120,Campanian,,83.6,72.1,11964;11964,-110.722214
354,Campanian,,83.6,72.1,18147;18147,104.0
38,Campanian,,83.6,72.1,9814;9814,-112.182777
719,Campanian,,83.6,72.1,59136;59136,99.599998
732,Campanian,,83.6,72.1,64073;64073,100.90194699999999
581,Campanian,,83.6,72.1,36118;36118,107.426666
580,Campanian,,83.6,72.1,53759;53759,105.739998
464,Campanian,,83.6,72.1,59044;59044,4.172239
56,Campanian,Maastrichtian,83.6,66.0,10388;10388,31.145
57,Campanian,Maastrichtian,83.6,66.0,10383;10383,31.145
704,Campanian,,83.6,72.1,55298;55298,107.84361299999999
506,Campanian,,83.6,72.1,28069;28069,106.72389199999999
353,Campanian,,83.6,72.1,18147;18147,103.56472
702,Campanian,,83.6,72.1,42291;42291,103.288887
722,Campanian,,83.6,72.1,10138;10138,101.125427
682,Campanian,,83.6,72.1,42293;42293,102.909164
345,Campanian,,83.6,72.1,15024;15024,-112.27610800000001
502,Campanian,,83.6,72.1,27814;27814,-88.084724
663,Campanian,Early Campanian,83.6,70.6,50790;50790,-107.199997
271,Campanian,Maastrichtian,83.6,66.0,13553;13553,106.98278
