,early_interval,late_interval,early_age,late_age,reference_no,lng
12,Early Maastrichtian,,70.6,66.0,51906;51906,-112.934799
353,Early Maastrichtian,,70.6,66.0,66250;66250,-108.066399
352,Early Maastrichtian,,70.6,66.0,66250;66250,-108.09536000000001
351,Lancian,,70.6,66.0,66164;66164,-103.488052
160,Early Maastrichtian,,70.6,66.0,17034;17034,-112.865601
161,Lancian,,70.6,66.0,17042;17042,-103.624443
345,Late Maastrichtian,,70.6,66.0,63480;63480,-104.54972099999999
26,Lancian,,70.6,66.0,774;774,-104.36666899999999
6,Early Maastrichtian,,70.6,66.0,4205;4205,-112.981903
21,Lancian,,70.6,66.0,1987;1987,-107.38333100000001
325,Lancian,,70.6,66.0,59148;59148,-107.192223
169,Early Maastrichtian,,70.6,66.0,17404;17404,-112.87860900000001
152,Lancian,,70.6,66.0,803;803,-104.533302
166,Late Maastrichtian,,70.6,66.0,17309;17309,-104.552696
167,Lancian,,70.6,66.0,17313;17313,-104.697777
224,Lancian,,70.6,66.0,2236;2236,-106.886246
28,Lancian,,70.6,66.0,717;717,-104.49166899999999
144,Lancian,,70.6,66.0,6835;6835,-107.14971899999999
226,Lancian,,70.6,66.0,2236;2236,-106.89241000000001
227,Lancian,,70.6,66.0,2236;2236,-106.88224
228,Early Maastrichtian,,70.6,66.0,25756;25756,-113.54536399999999
120,Late Maastrichtian,,70.6,66.0,50357;50357,-151.51944
223,Lancian,,70.6,66.0,2236;2236,-106.880623
222,Lancian,,70.6,66.0,2236;2236,-106.853416
234,Late Maastrichtian,,70.6,66.0,29157;29157,177.125
235,Late Maastrichtian,,70.6,66.0,29831;29831,-104.89138799999999
221,Lancian,,70.6,66.0,2236;2236,-107.0
107,Lancian,,70.6,66.0,13103;13103,-106.199997
246,Early Maastrichtian,,70.6,66.0,4218;4218,-112.673378
106,Lancian,,70.6,66.0,13103;13103,-106.266701
105,Late Maastrichtian,,70.6,66.0,803;803,-104.637001
104,Lancian,,70.6,66.0,13103;13103,-106.916702
121,Early Maastrichtian,,70.6,66.0,13817;13817,-151.578232
96,Lancian,,70.6,66.0,3006;3006,-113.12460300000001
195,Early Maastrichtian,,70.6,66.0,19433;19433,-103.56562
194,Early Maastrichtian,,70.6,66.0,19433;19433,-103.516487
126,Edmontonian,,70.6,66.0,13943;13943,-112.985298
280,Lancian,,70.6,66.0,48569;48569,-108.853798
141,Late Maastrichtian,,70.6,66.0,14627;14627,-108.816666
225,Lancian,,70.6,66.0,2236;2236,-106.87631200000001
292,Late Maastrichtian,,70.6,66.0,51520;51520,-114.106903
293,Late Maastrichtian,,70.6,66.0,51520;51520,-101.96788000000001
298,Late Maastrichtian,,70.6,66.0,53020;53020,-107.0
52,Lancian,,70.6,66.0,11749;11749,-103.300003
40,Late Maastrichtian,,70.6,66.0,10082;10082,130.449997
291,Late Maastrichtian,,70.6,66.0,51520;51520,-106.25591299999999
