,early_interval,late_interval,early_age,late_age,reference_no,lng
139,Maastrichtian,,72.1,66.0,14592;14592,-104.15969799999999
289,Maastrichtian,,72.1,66.0,51099;51099,114.806389
140,Maastrichtian,,72.1,66.0,14618;14618,-107.798698
354,Maastrichtian,,72.1,66.0,66250;66250,-108.10194399999999
283,Maastrichtian,,72.1,66.0,15259;15259,-110.602501
135,Maastrichtian,,72.1,66.0,29230;29230,-104.915283
327,Maastrichtian,,72.1,66.0,59136;59136,99.833054
132,Maastrichtian,,72.1,66.0,10608;10608,-104.07243299999999
276,Maastrichtian,,72.1,66.0,46330;46330,-105.240425
290,Maastrichtian,,72.1,66.0,51105;51105,-103.159576
62,Maastrichtian,,72.1,66.0,11749;11749,-103.0233
143,Maastrichtian,,72.1,66.0,42291;42291,100.011108
63,Maastrichtian,,72.1,66.0,11749;11749,-104.0233
274,Maastrichtian,,72.1,66.0,46207;46207,-104.494812
170,Maastrichtian,,72.1,66.0,17469;17469,-107.083
299,Maastrichtian,,72.1,66.0,52782;52782,-119.564003
61,Maastrichtian,,72.1,66.0,11749;11749,-103.964401
60,Maastrichtian,,72.1,66.0,11749;11749,-103.939697
59,Maastrichtian,,72.1,66.0,11749;11749,-103.79540300000001
53,Maastrichtian,,72.1,66.0,11749;11749,-103.753899
44,Maastrichtian,,72.1,66.0,10219;10219,44.0592
321,Maastrichtian,,72.1,66.0,14794;14794,109.901367
179,Maastrichtian,,72.1,66.0,17876;17876,-105.239166
320,Maastrichtian,,72.1,66.0,58665;58665,-109.177498
314,Maastrichtian,,72.1,66.0,55060;55060,100.46167
275,Maastrichtian,,72.1,66.0,46207;46207,-104.192398
14,Maastrichtian,,72.1,66.0,4205;4205,-113.23333000000001
319,Maastrichtian,,72.1,66.0,57703;57703,-105.854446
214,Maastrichtian,,72.1,66.0,24895;24895,-103.45166800000001
343,Maastrichtian,,72.1,66.0,62838;62838,-107.083
236,Maastrichtian,,72.1,66.0,29954;29954,-90.02777900000001
5,Maastrichtian,,72.1,66.0,9259;9259,-112.981903
113,Maastrichtian,,72.1,66.0,13266;13266,-105.036667
112,Maastrichtian,,72.1,66.0,51520;51520,-105.01611299999999
110,Maastrichtian,,72.1,66.0,13266;13266,-105.01110800000001
341,Maastrichtian,,72.1,66.0,61095;61095,-105.08000200000001
153,Maastrichtian,,72.1,66.0,803;803,-104.650002
165,Maastrichtian,,72.1,66.0,17308;17308,-107.083298
13,Maastrichtian,,72.1,66.0,4218;4218,-113.0289
215,Maastrichtian,,72.1,66.0,54013;54013,-103.45166800000001
103,Maastrichtian,,72.1,66.0,9259;9259,-105.839996
89,Maastrichtian,,72.1,66.0,1129;1129,-107.64859799999999
258,Maastrichtian,,72.1,66.0,36719;36719,100.386108
264,Maastrichtian,,72.1,66.0,42289;42289,100.359718
159,Maastrichtian,,72.1,66.0,16780;16780,-108.89250200000001
90,Maastrichtian,,72.1,66.0,9259;9259,-104.411598
205,Maastrichtian,,72.1,66.0,19952;19952,-103.159576
318,Maastrichtian,,72.1,66.0,42289;42289,100.50389100000001
257,Maastrichtian,,72.1,66.0,53759;53759,99.833054
208,Maastrichtian,,72.1,66.0,34612;34612,100.477776
