,early_interval,late_interval,early_age,late_age,reference_no,lng
203,Late Campanian,,83.5,70.6,19504;19504,-112.22269399999999
188,Late Campanian,,83.5,70.6,18896;18896,-111.435402
193,Late Campanian,,83.5,70.6,11752;11752,-103.169876
204,Late Campanian,,83.5,70.6,19634;19634,-110.848335
206,Late Campanian,,83.5,70.6,23361;23361,-109.65110800000001
218,Middle Campanian,Late Campanian,83.5,70.6,25308;25308,-107.83333600000002
296,Late Campanian,,83.5,70.6,52782;52782,-111.787903
310,Late Campanian,Early Maastrichtian,83.5,66.0,54952;54952,-119.526016
187,Late Campanian,,83.5,70.6,18896;18896,-111.52458200000001
230,Late Campanian,,83.5,70.6,25969;25969,-101.156387
311,Middle Campanian,Late Campanian,83.5,70.6,54972;54972,-111.463272
181,Late Campanian,,83.5,70.6,18013;18013,-108.4813
180,Late Campanian,,83.5,70.6,18013;18013,-108.00833100000001
178,Judithian,,83.5,70.6,17857;17857,-107.099998
1,Late Campanian,,83.5,70.6,4205;4205,-111.549347
344,Late Campanian,,83.5,70.6,4205;4205,-111.511902
323,Late Campanian,Early Maastrichtian,83.5,66.0,34612;34612,101.275002
324,Late Campanian,Early Maastrichtian,83.5,66.0,59137;59137,101.275002
346,Late Campanian,,83.5,70.6,63500;63500,-111.509819
326,Late Campanian,,83.5,70.6,59354;59354,-108.79794299999999
348,Late Campanian,,83.5,70.6,46330;46330,-108.01694499999999
229,Late Campanian,,83.5,70.6,25812;25812,-103.550003
238,Late Campanian,,83.5,70.6,30044;30044,-118.51251200000002
231,Late Campanian,,83.5,70.6,26639;26639,-108.084167
237,Late Campanian,,83.5,70.6,30044;30044,-118.510719
288,Late Campanian,,83.5,70.6,51074;51074,-111.73555800000001
287,Early Campanian,,83.5,70.6,51074;51074,-111.646667
284,Late Campanian,,83.5,70.6,50455;50455,-115.73333000000001
282,Middle Campanian,Late Campanian,83.5,70.6,49055;49055,-113.8871
279,Judithian,,83.5,70.6,48379;48379,-103.63713100000001
278,Late Campanian,,83.5,70.6,46717;46717,-103.169876
301,Early Campanian,,83.5,70.6,25625;25625,-110.930191
273,Late Campanian,,83.5,70.6,46099;46099,-109.440399
272,Late Campanian,,83.5,70.6,35113;35113,-111.53196000000001
158,Late Campanian,,83.5,70.6,4205;4205,-111.504005
265,Late Campanian,Early Maastrichtian,83.5,66.0,42294;42294,102.669724
302,Early Campanian,,83.5,70.6,25625;25625,-110.937149
303,Late Campanian,,83.5,70.6,54639;54639,-110.91666399999998
304,Early Campanian,,83.5,70.6,25625;25625,-111.00469199999999
