,early_interval,late_interval,early_age,late_age,reference_no,lng
86,Campanian,,83.6,72.1,11964;11964,-110.722214
87,Campanian,,83.6,72.1,11964;11964,-110.719452
334,Campanian,Maastrichtian,83.6,66.0,10453;10453,101.032219
263,Campanian,Maastrichtian,83.6,66.0,53759;53759,100.457779
245,Campanian,,83.6,72.1,15024;15024,-112.27610800000001
92,Campanian,,83.6,72.1,11964;11964,-110.70281999999999
259,Campanian,,83.6,72.1,39426;39426,-112.58283200000001
256,Campanian,,83.6,72.1,35717;35717,120.98471799999999
335,Campanian,Maastrichtian,83.6,66.0,10453;10453,101.031387
337,Campanian,Maastrichtian,83.6,66.0,59835;59835,100.455833
338,Campanian,Maastrichtian,83.6,66.0,59835;59835,100.452225
130,Campanian,,83.6,72.1,34553;34553,-111.61666899999999
117,Campanian,,83.6,72.1,9256;9256,111.76666999999999
295,Campanian,Maastrichtian,83.6,66.0,52140;52140,89.85601
189,Campanian,,83.6,72.1,19041;19041,-107.036942
133,Campanian,,83.6,72.1,12250;12250,-108.935997
340,Campanian,Maastrichtian,83.6,66.0,60844;60844,-119.54695900000002
185,Campanian,Maastrichtian,83.6,66.0,9258;9258,89.85601
342,Campanian,,83.6,72.1,62031;62031,-112.58283200000001
182,Campanian,,83.6,72.1,18013;18013,-108.496094
174,Campanian,,83.6,72.1,62031;62031,-113.75
151,Campanian,Maastrichtian,83.6,66.0,15240;15240,-105.200546
154,Campanian,,83.6,72.1,35717;35717,119.32694199999999
281,Campanian,,83.6,72.1,48791;48791,-78.45416999999999
329,Campanian,Maastrichtian,83.6,66.0,59835;59835,101.04555500000001
48,Campanian,Maastrichtian,83.6,66.0,59835;59835,100.456108
331,Campanian,Maastrichtian,83.6,66.0,59835;59835,101.053612
42,Campanian,Maastrichtian,83.6,66.0,15110;15110,100.44139100000001
47,Campanian,Maastrichtian,83.6,66.0,9900;9900,100.48333000000001
35,Campanian,,83.6,72.1,9814;9814,-112.182777
41,Campanian,Maastrichtian,83.6,66.0,9900;9900,101.029724
31,Campanian,,83.6,72.1,14626;14626,-85.02666500000001
312,Campanian,,83.6,72.1,55072;55072,-113.75
332,Campanian,Maastrichtian,83.6,66.0,10453;10453,101.029724
313,Campanian,,83.6,72.1,55080;55080,119.409943
39,Campanian,Maastrichtian,83.6,66.0,9899;9899,100.456665
38,Campanian,Maastrichtian,83.6,66.0,9900;9900,100.363052
322,Campanian,Maastrichtian,83.6,66.0,34612;34612,100.36666899999999
36,Campanian,Maastrichtian,83.6,66.0,15110;15110,100.483612
333,Campanian,Maastrichtian,83.6,66.0,10453;10453,101.041389
297,Campanian,,83.6,72.1,52782;52782,-112.20555900000001
37,Campanian,Maastrichtian,83.6,66.0,9901;9901,100.374809
307,Campanian,Maastrichtian,83.6,66.0,54846;54846,-113.014297
